"","year","period","value_earnings","industry_text"
"1",2000,"01",131005,"Total nonfarm"
"2",2000,"02",131124,"Total nonfarm"
"3",2000,"03",131596,"Total nonfarm"
"4",2000,"04",131888,"Total nonfarm"
"5",2000,"05",132105,"Total nonfarm"
"6",2000,"06",132061,"Total nonfarm"
"7",2000,"07",132236,"Total nonfarm"
"8",2000,"08",132230,"Total nonfarm"
"9",2000,"09",132353,"Total nonfarm"
"10",2000,"10",132351,"Total nonfarm"
"11",2000,"11",132556,"Total nonfarm"
"12",2000,"12",132709,"Total nonfarm"
"13",2001,"01",132698,"Total nonfarm"
"14",2001,"02",132789,"Total nonfarm"
"15",2001,"03",132747,"Total nonfarm"
"16",2001,"04",132463,"Total nonfarm"
"17",2001,"05",132410,"Total nonfarm"
"18",2001,"06",132299,"Total nonfarm"
"19",2001,"07",132177,"Total nonfarm"
"20",2001,"08",132028,"Total nonfarm"
"21",2001,"09",131771,"Total nonfarm"
"22",2001,"10",131454,"Total nonfarm"
"23",2001,"11",131142,"Total nonfarm"
"24",2001,"12",130982,"Total nonfarm"
"25",2002,"01",130852,"Total nonfarm"
"26",2002,"02",130736,"Total nonfarm"
"27",2002,"03",130717,"Total nonfarm"
"28",2002,"04",130623,"Total nonfarm"
"29",2002,"05",130634,"Total nonfarm"
"30",2002,"06",130684,"Total nonfarm"
"31",2002,"07",130590,"Total nonfarm"
"32",2002,"08",130587,"Total nonfarm"
"33",2002,"09",130501,"Total nonfarm"
"34",2002,"10",130628,"Total nonfarm"
"35",2002,"11",130615,"Total nonfarm"
"36",2002,"12",130472,"Total nonfarm"
"37",2003,"01",130580,"Total nonfarm"
"38",2003,"02",130444,"Total nonfarm"
"39",2003,"03",130232,"Total nonfarm"
"40",2003,"04",130177,"Total nonfarm"
"41",2003,"05",130196,"Total nonfarm"
"42",2003,"06",130194,"Total nonfarm"
"43",2003,"07",130191,"Total nonfarm"
"44",2003,"08",130149,"Total nonfarm"
"45",2003,"09",130254,"Total nonfarm"
"46",2003,"10",130454,"Total nonfarm"
"47",2003,"11",130474,"Total nonfarm"
"48",2003,"12",130588,"Total nonfarm"
"49",2004,"01",130769,"Total nonfarm"
"50",2004,"02",130825,"Total nonfarm"
"51",2004,"03",131142,"Total nonfarm"
"52",2004,"04",131411,"Total nonfarm"
"53",2004,"05",131694,"Total nonfarm"
"54",2004,"06",131793,"Total nonfarm"
"55",2004,"07",131848,"Total nonfarm"
"56",2004,"08",131937,"Total nonfarm"
"57",2004,"09",132093,"Total nonfarm"
"58",2004,"10",132447,"Total nonfarm"
"59",2004,"11",132503,"Total nonfarm"
"60",2004,"12",132624,"Total nonfarm"
"61",2005,"01",132774,"Total nonfarm"
"62",2005,"02",133032,"Total nonfarm"
"63",2005,"03",133156,"Total nonfarm"
"64",2005,"04",133518,"Total nonfarm"
"65",2005,"05",133690,"Total nonfarm"
"66",2005,"06",133942,"Total nonfarm"
"67",2005,"07",134296,"Total nonfarm"
"68",2005,"08",134498,"Total nonfarm"
"69",2005,"09",134566,"Total nonfarm"
"70",2005,"10",134655,"Total nonfarm"
"71",2005,"11",134993,"Total nonfarm"
"72",2005,"12",135149,"Total nonfarm"
"73",2006,"01",135429,"Total nonfarm"
"74",2006,"02",135737,"Total nonfarm"
"75",2006,"03",136047,"Total nonfarm"
"76",2006,"04",136205,"Total nonfarm"
"77",2006,"05",136244,"Total nonfarm"
"78",2006,"06",136325,"Total nonfarm"
"79",2006,"07",136520,"Total nonfarm"
"80",2006,"08",136694,"Total nonfarm"
"81",2006,"09",136843,"Total nonfarm"
"82",2006,"10",136852,"Total nonfarm"
"83",2006,"11",137063,"Total nonfarm"
"84",2006,"12",137249,"Total nonfarm"
"85",2007,"01",137477,"Total nonfarm"
"86",2007,"02",137558,"Total nonfarm"
"87",2007,"03",137793,"Total nonfarm"
"88",2007,"04",137842,"Total nonfarm"
"89",2007,"05",137993,"Total nonfarm"
"90",2007,"06",138069,"Total nonfarm"
"91",2007,"07",138038,"Total nonfarm"
"92",2007,"08",138015,"Total nonfarm"
"93",2007,"09",138095,"Total nonfarm"
"94",2007,"10",138174,"Total nonfarm"
"95",2007,"11",138284,"Total nonfarm"
"96",2007,"12",138392,"Total nonfarm"
"97",2008,"01",138403,"Total nonfarm"
"98",2008,"02",138324,"Total nonfarm"
"99",2008,"03",138275,"Total nonfarm"
"100",2008,"04",138035,"Total nonfarm"
"101",2008,"05",137858,"Total nonfarm"
"102",2008,"06",137687,"Total nonfarm"
"103",2008,"07",137491,"Total nonfarm"
"104",2008,"08",137213,"Total nonfarm"
"105",2008,"09",136753,"Total nonfarm"
"106",2008,"10",136272,"Total nonfarm"
"107",2008,"11",135545,"Total nonfarm"
"108",2008,"12",134839,"Total nonfarm"
"109",2009,"01",134055,"Total nonfarm"
"110",2009,"02",133312,"Total nonfarm"
"111",2009,"03",132512,"Total nonfarm"
"112",2009,"04",131817,"Total nonfarm"
"113",2009,"05",131475,"Total nonfarm"
"114",2009,"06",131008,"Total nonfarm"
"115",2009,"07",130668,"Total nonfarm"
"116",2009,"08",130485,"Total nonfarm"
"117",2009,"09",130244,"Total nonfarm"
"118",2009,"10",130045,"Total nonfarm"
