"","year","period","value_emp","sexs_code","industry_text"
"1",2010,"07","        1314",0,"Agriculture, forestry, fishing, and hunting"
"2",2009,"08","        1255",0,"Agriculture, forestry, fishing, and hunting"
"3",2010,"05","        1343",0,"Agriculture, forestry, fishing, and hunting"
"4",2010,"06","        1295",0,"Agriculture, forestry, fishing, and hunting"
"5",2001,"08","        1300",0,"Agriculture, forestry, fishing, and hunting"
"6",2009,"06","        1249",0,"Agriculture, forestry, fishing, and hunting"
"7",2009,"07","        1231",0,"Agriculture, forestry, fishing, and hunting"
"8",2008,"10","        1310",0,"Agriculture, forestry, fishing, and hunting"
"9",2000,"12","        1395",0,"Agriculture, forestry, fishing, and hunting"
"10",2010,"08","        1292",0,"Agriculture, forestry, fishing, and hunting"
"11",2010,"09","        1317",0,"Agriculture, forestry, fishing, and hunting"
"12",2002,"08","        1161",0,"Agriculture, forestry, fishing, and hunting"
"13",2002,"09","        1281",0,"Agriculture, forestry, fishing, and hunting"
"14",2010,"02","        1376",0,"Agriculture, forestry, fishing, and hunting"
"15",2010,"03","        1357",0,"Agriculture, forestry, fishing, and hunting"
"16",2010,"10","        1409",0,"Agriculture, forestry, fishing, and hunting"
"17",2001,"01","        1380",0,"Agriculture, forestry, fishing, and hunting"
"18",2003,"11","        1413",0,"Agriculture, forestry, fishing, and hunting"
"19",2003,"12","        1306",0,"Agriculture, forestry, fishing, and hunting"
"20",2010,"04","        1436",0,"Agriculture, forestry, fishing, and hunting"
"21",2003,"10","        1498",0,"Agriculture, forestry, fishing, and hunting"
"22",2004,"03","        1247",0,"Agriculture, forestry, fishing, and hunting"
"23",2001,"02","        1318",0,"Agriculture, forestry, fishing, and hunting"
"24",2004,"01","        1222",0,"Agriculture, forestry, fishing, and hunting"
"25",2004,"02","        1247",0,"Agriculture, forestry, fishing, and hunting"
"26",2001,"07","        1333",0,"Agriculture, forestry, fishing, and hunting"
"27",2011,"03","        1415",0,"Agriculture, forestry, fishing, and hunting"
"28",2011,"04","        1293",0,"Agriculture, forestry, fishing, and hunting"
"29",2004,"10","        1237",0,"Agriculture, forestry, fishing, and hunting"
"30",2001,"09","        1263",0,"Agriculture, forestry, fishing, and hunting"
"31",2001,"10","        1258",0,"Agriculture, forestry, fishing, and hunting"
"32",2001,"11","        1212",0,"Agriculture, forestry, fishing, and hunting"
"33",2008,"11","        1242",0,"Agriculture, forestry, fishing, and hunting"
"34",2008,"12","        1246",0,"Agriculture, forestry, fishing, and hunting"
"35",2009,"01","        1216",0,"Agriculture, forestry, fishing, and hunting"
"36",2004,"04","        1281",0,"Agriculture, forestry, fishing, and hunting"
"37",2001,"05","        1335",0,"Agriculture, forestry, fishing, and hunting"
"38",2001,"06","        1162",0,"Agriculture, forestry, fishing, and hunting"
"39",2009,"04","        1227",0,"Agriculture, forestry, fishing, and hunting"
"40",2005,"10","        1201",0,"Agriculture, forestry, fishing, and hunting"
"41",2009,"05","        1244",0,"Agriculture, forestry, fishing, and hunting"
"42",2002,"06","        1246",0,"Agriculture, forestry, fishing, and hunting"
"43",2002,"07","        1354",0,"Agriculture, forestry, fishing, and hunting"
"44",2006,"01","        1249",0,"Agriculture, forestry, fishing, and hunting"
"45",2006,"02","        1225",0,"Agriculture, forestry, fishing, and hunting"
"46",2002,"10","        1383",0,"Agriculture, forestry, fishing, and hunting"
"47",2002,"11","        1193",0,"Agriculture, forestry, fishing, and hunting"
"48",2002,"12","        1270",0,"Agriculture, forestry, fishing, and hunting"
"49",2003,"01","        1225",0,"Agriculture, forestry, fishing, and hunting"
"50",2004,"05","        1286",0,"Agriculture, forestry, fishing, and hunting"
"51",2001,"03","        1316",0,"Agriculture, forestry, fishing, and hunting"
"52",2001,"04","        1283",0,"Agriculture, forestry, fishing, and hunting"
"53",2006,"10","        1264",0,"Agriculture, forestry, fishing, and hunting"
"54",2006,"11","        1277",0,"Agriculture, forestry, fishing, and hunting"
"55",2006,"12","        1359",0,"Agriculture, forestry, fishing, and hunting"
"56",2007,"01","        1318",0,"Agriculture, forestry, fishing, and hunting"
"57",2007,"02","        1369",0,"Agriculture, forestry, fishing, and hunting"
"58",2007,"03","        1296",0,"Agriculture, forestry, fishing, and hunting"
"59",2007,"04","        1205",0,"Agriculture, forestry, fishing, and hunting"
"60",2007,"05","        1216",0,"Agriculture, forestry, fishing, and hunting"
"61",2007,"06","        1174",0,"Agriculture, forestry, fishing, and hunting"
"62",2007,"07","        1171",0,"Agriculture, forestry, fishing, and hunting"
"63",2003,"02","        1212",0,"Agriculture, forestry, fishing, and hunting"
"64",2003,"03","        1276",0,"Agriculture, forestry, fishing, and hunting"
"65",2009,"03","        1163",0,"Agriculture, forestry, fishing, and hunting"
"66",2004,"07","        1208",0,"Agriculture, forestry, fishing, and hunting"
"67",2007,"12","        1333",0,"Agriculture, forestry, fishing, and hunting"
"68",2008,"01","        1245",0,"Agriculture, forestry, fishing, and hunting"
"69",2008,"02","        1280",0,"Agriculture, forestry, fishing, and hunting"
"70",2008,"03","        1343",0,"Agriculture, forestry, fishing, and hunting"
"71",2008,"04","        1251",0,"Agriculture, forestry, fishing, and hunting"
"72",2008,"05","        1236",0,"Agriculture, forestry, fishing, and hunting"
"73",2008,"07","        1274",0,"Agriculture, forestry, fishing, and hunting"
"74",2008,"08","        1296",0,"Agriculture, forestry, fishing, and hunting"
"75",2008,"09","        1363",0,"Agriculture, forestry, fishing, and hunting"
