series_id        	year	period	       value	footnote_codes
JTS00000000LDL   	2000	M12	        2035	
JTS00000000LDL   	2001	M01	        2220	
JTS00000000LDL   	2001	M02	        1838	
JTS00000000LDL   	2001	M03	        2126	
JTS00000000LDL   	2001	M04	        1880	
JTS00000000LDL   	2001	M05	        2041	
JTS00000000LDL   	2001	M06	        2004	
JTS00000000LDL   	2001	M07	        2060	
JTS00000000LDL   	2001	M08	        2004	
JTS00000000LDL   	2001	M09	        2101	
JTS00000000LDL   	2001	M10	        2327	
JTS00000000LDL   	2001	M11	        2260	
JTS00000000LDL   	2001	M12	        1931	
JTS00000000LDL   	2002	M01	        1908	
JTS00000000LDL   	2002	M02	        1964	
JTS00000000LDL   	2002	M03	        1870	
JTS00000000LDL   	2002	M04	        1956	
JTS00000000LDL   	2002	M05	        1977	
JTS00000000LDL   	2002	M06	        2003	
JTS00000000LDL   	2002	M07	        2120	
JTS00000000LDL   	2002	M08	        1915	
JTS00000000LDL   	2002	M09	        2016	
JTS00000000LDL   	2002	M10	        1940	
JTS00000000LDL   	2002	M11	        1950	
JTS00000000LDL   	2002	M12	        2014	
JTS00000000LDL   	2003	M01	        2113	
JTS00000000LDL   	2003	M02	        2006	
JTS00000000LDL   	2003	M03	        1939	
JTS00000000LDL   	2003	M04	        1999	
JTS00000000LDL   	2003	M05	        2078	
JTS00000000LDL   	2003	M06	        2065	
JTS00000000LDL   	2003	M07	        2078	
JTS00000000LDL   	2003	M08	        2154	
JTS00000000LDL   	2003	M09	        1927	
JTS00000000LDL   	2003	M10	        1975	
JTS00000000LDL   	2003	M11	        1954	
JTS00000000LDL   	2003	M12	        2012	
JTS00000000LDL   	2004	M01	        2044	
JTS00000000LDL   	2004	M02	        1972	
JTS00000000LDL   	2004	M03	        2052	
JTS00000000LDL   	2004	M04	        2013	
JTS00000000LDL   	2004	M05	        1917	
JTS00000000LDL   	2004	M06	        1877	
JTS00000000LDL   	2004	M07	        1895	
JTS00000000LDL   	2004	M08	        1964	
JTS00000000LDL   	2004	M09	        2024	
JTS00000000LDL   	2004	M10	        1911	
JTS00000000LDL   	2004	M11	        2042	
JTS00000000LDL   	2004	M12	        1953	
JTS00000000LDL   	2005	M01	        2017	
JTS00000000LDL   	2005	M02	        2059	
JTS00000000LDL   	2005	M03	        2179	
JTS00000000LDL   	2005	M04	        1961	
JTS00000000LDL   	2005	M05	        2020	
JTS00000000LDL   	2005	M06	        2007	
JTS00000000LDL   	2005	M07	        1905	
JTS00000000LDL   	2005	M08	        1900	
JTS00000000LDL   	2005	M09	        2031	
JTS00000000LDL   	2005	M10	        1881	
JTS00000000LDL   	2005	M11	        1773	
JTS00000000LDL   	2005	M12	        1926	
JTS00000000LDL   	2006	M01	        1796	
JTS00000000LDL   	2006	M02	        1875	
JTS00000000LDL   	2006	M03	        1877	
JTS00000000LDL   	2006	M04	        1856	
JTS00000000LDL   	2006	M05	        1988	
JTS00000000LDL   	2006	M06	        1807	
JTS00000000LDL   	2006	M07	        1865	
JTS00000000LDL   	2006	M08	        1771	
JTS00000000LDL   	2006	M09	        1828	
JTS00000000LDL   	2006	M10	        1905	
JTS00000000LDL   	2006	M11	        1928	
JTS00000000LDL   	2006	M12	        1775	
JTS00000000LDL   	2007	M01	        1936	
JTS00000000LDL   	2007	M02	        1845	
JTS00000000LDL   	2007	M03	        1872	
JTS00000000LDL   	2007	M04	        2002	
JTS00000000LDL   	2007	M05	        1963	
JTS00000000LDL   	2007	M06	        1836	
JTS00000000LDL   	2007	M07	        1904	
JTS00000000LDL   	2007	M08	        2029	
JTS00000000LDL   	2007	M09	        2186	
JTS00000000LDL   	2007	M10	        2005	
JTS00000000LDL   	2007	M11	        1967	
JTS00000000LDL   	2007	M12	        1923	
JTS00000000LDL   	2008	M01	        2010	
JTS00000000LDL   	2008	M02	        1990	
JTS00000000LDL   	2008	M03	        1906	
JTS00000000LDL   	2008	M04	        1957	
JTS00000000LDL   	2008	M05	        1948	
JTS00000000LDL   	2008	M06	        2153	
JTS00000000LDL   	2008	M07	        2076	
JTS00000000LDL   	2008	M08	        2185	
JTS00000000LDL   	2008	M09	        2087	
JTS00000000LDL   	2008	M10	        2253	
JTS00000000LDL   	2008	M11	        2289	
JTS00000000LDL   	2008	M12	        2497	
JTS00000000LDL   	2009	M01	        2614	
JTS00000000LDL   	2009	M02	        2590	
JTS00000000LDL   	2009	M03	        2560	
JTS00000000LDL   	2009	M04	        2651	
JTS00000000LDL   	2009	M05	        2228	
JTS00000000LDL   	2009	M06	        2242	
JTS00000000LDL   	2009	M07	        2274	
JTS00000000LDL   	2009	M08	        2113	
JTS00000000LDL   	2009	M09	        2195	
JTS00000000LDL   	2009	M10	        2028	
JTS00000000LDL   	2009	M11	        1911	
JTS00000000LDL   	2009	M12	        2045	
JTS00000000LDL   	2010	M01	        1902	
JTS00000000LDL   	2010	M02	        1817	
JTS00000000LDL   	2010	M03	        1916	
JTS00000000LDL   	2010	M04	        1744	
JTS00000000LDL   	2010	M05	        1761	
JTS00000000LDL   	2010	M06	        2061	
JTS00000000LDL   	2010	M07	        2173	
JTS00000000LDL   	2010	M08	        1886	
JTS00000000LDL   	2010	M09	        1834	
JTS00000000LDL   	2010	M10	        1746	
JTS00000000LDL   	2010	M11	        1848	
JTS00000000LDL   	2010	M12	        1865	
JTS00000000LDL   	2011	M01	        1846	
JTS00000000LDL   	2011	M02	        1748	
JTS00000000LDL   	2011	M03	        1787	
JTS00000000LDL   	2011	M04	        1787	
JTS00000000LDL   	2011	M05	        1903	
JTS00000000LDL   	2011	M06	        1926	
JTS00000000LDL   	2011	M07	        1850	
JTS00000000LDL   	2011	M08	        1842	
JTS00000000LDL   	2011	M09	        1875	
JTS00000000LDL   	2011	M10	        1796	
JTS00000000LDL   	2011	M11	        1911	
JTS00000000LDL   	2011	M12	        1811	
JTS00000000LDL   	2012	M01	        1817	
JTS00000000LDL   	2012	M02	        1896	
JTS00000000LDL   	2012	M03	        1775	
JTS00000000LDL   	2012	M04	        1868	
JTS00000000LDL   	2012	M05	        1968	
JTS00000000LDL   	2012	M06	        1883	
JTS00000000LDL   	2012	M07	        1729	
JTS00000000LDL   	2012	M08	        1889	
JTS00000000LDL   	2012	M09	        1808	
JTS00000000LDL   	2012	M10	        1897	
JTS00000000LDL   	2012	M11	        1920	
JTS00000000LDL   	2012	M12	        1708	
JTS00000000LDL   	2013	M01	        1690	
JTS00000000LDL   	2013	M02	        1655	
JTS00000000LDL   	2013	M03	        1780	
JTS00000000LDL   	2013	M04	        1786	
JTS00000000LDL   	2013	M05	        1833	
JTS00000000LDL   	2013	M06	        1755	
JTS00000000LDL   	2013	M07	        1731	
JTS00000000LDL   	2013	M08	        1814	
JTS00000000LDL   	2013	M09	        1892	
JTS00000000LDL   	2013	M10	        1681	
JTS00000000LDL   	2013	M11	        1630	
JTS00000000LDL   	2013	M12	        1774	
JTS00000000LDL   	2014	M01	        1815	
JTS00000000LDL   	2014	M02	        1758	
JTS00000000LDL   	2014	M03	        1697	
JTS00000000LDL   	2014	M04	        1752	
JTS00000000LDL   	2014	M05	        1706	
JTS00000000LDL   	2014	M06	        1753	
JTS00000000LDL   	2014	M07	        1801	
JTS00000000LDL   	2014	M08	        1698	
JTS00000000LDL   	2014	M09	        1716	
JTS00000000LDL   	2014	M10	        1844	
JTS00000000LDL   	2014	M11	        1727	
JTS00000000LDL   	2014	M12	        1860	
JTS00000000LDL   	2015	M01	        1800	
JTS00000000LDL   	2015	M02	        1746	
JTS00000000LDL   	2015	M03	        1960	
JTS00000000LDL   	2015	M04	        1848	
JTS00000000LDL   	2015	M05	        1708	
JTS00000000LDL   	2015	M06	        1813	
JTS00000000LDL   	2015	M07	        1721	
JTS00000000LDL   	2015	M08	        1773	
JTS00000000LDL   	2015	M09	        1963	
JTS00000000LDL   	2015	M10	        1852	
JTS00000000LDL   	2015	M11	        1779	
JTS00000000LDL   	2015	M12	        1804	
JTS00000000LDL   	2016	M01	        1831	
JTS00000000LDL   	2016	M02	        1926	
JTS00000000LDL   	2016	M03	        1877	
JTS00000000LDL   	2016	M04	        1774	
JTS00000000LDL   	2016	M05	        1792	
JTS00000000LDL   	2016	M06	        1733	
JTS00000000LDL   	2016	M07	        1786	
JTS00000000LDL   	2016	M08	        1827	
JTS00000000LDL   	2016	M09	        1596	
JTS00000000LDL   	2016	M10	        1636	
JTS00000000LDL   	2016	M11	        1767	
JTS00000000LDL   	2016	M12	        1718	
JTS00000000LDL   	2017	M01	        1765	
JTS00000000LDL   	2017	M02	        1698	
JTS00000000LDL   	2017	M03	        1749	
JTS00000000LDL   	2017	M04	        1704	
JTS00000000LDL   	2017	M05	        1796	
JTS00000000LDL   	2017	M06	        1958	
JTS00000000LDL   	2017	M07	        1900	
JTS00000000LDL   	2017	M08	        1866	
JTS00000000LDL   	2017	M09	        1807	
JTS00000000LDL   	2017	M10	        1819	
JTS00000000LDL   	2017	M11	        1732	
JTS00000000LDL   	2017	M12	        1736	
JTS00000000LDL   	2018	M01	        1957	
JTS00000000LDL   	2018	M02	        1781	
JTS00000000LDL   	2018	M03	        1794	
JTS00000000LDL   	2018	M04	        1729	
JTS00000000LDL   	2018	M05	        1776	
JTS00000000LDL   	2018	M06	        1807	
JTS00000000LDL   	2018	M07	        1791	
JTS00000000LDL   	2018	M08	        1796	
JTS00000000LDL   	2018	M09	        1780	
JTS00000000LDL   	2018	M10	        1830	
JTS00000000LDL   	2018	M11	        1910	
JTS00000000LDL   	2018	M12	        1832	
JTS00000000LDL   	2019	M01	        1734	
JTS00000000LDL   	2019	M02	        1791	
JTS00000000LDL   	2019	M03	        1698	
JTS00000000LDL   	2019	M04	        1950	
JTS00000000LDL   	2019	M05	        1764	
JTS00000000LDL   	2019	M06	        1763	
JTS00000000LDL   	2019	M07	        1812	
JTS00000000LDL   	2019	M08	        1792	
JTS00000000LDL   	2019	M09	        1962	
JTS00000000LDL   	2019	M10	        1778	
JTS00000000LDL   	2019	M11	        1769	
JTS00000000LDL   	2019	M12	        1893	
JTS00000000LDL   	2020	M01	        1749	C
JTS00000000LDL   	2020	M02	        1846	
JTS00000000LDL   	2020	M03	       11489	
JTS00000000LDL   	2020	M04	        7708	
JTS00000000LDL   	2020	M05	        1903	
JTS00000000LDL   	2020	M06	        1885	P
JTS00000000LDR   	2000	M12	         1.5	
JTS00000000LDR   	2001	M01	         1.7	
JTS00000000LDR   	2001	M02	         1.4	
JTS00000000LDR   	2001	M03	         1.6	
JTS00000000LDR   	2001	M04	         1.4	
JTS00000000LDR   	2001	M05	         1.5	
JTS00000000LDR   	2001	M06	         1.5	
JTS00000000LDR   	2001	M07	         1.6	
JTS00000000LDR   	2001	M08	         1.5	
JTS00000000LDR   	2001	M09	         1.6	
JTS00000000LDR   	2001	M10	         1.8	
JTS00000000LDR   	2001	M11	         1.7	
JTS00000000LDR   	2001	M12	         1.5	
JTS00000000LDR   	2002	M01	         1.5	
JTS00000000LDR   	2002	M02	         1.5	
JTS00000000LDR   	2002	M03	         1.4	
JTS00000000LDR   	2002	M04	         1.5	
JTS00000000LDR   	2002	M05	         1.5	
JTS00000000LDR   	2002	M06	         1.5	
JTS00000000LDR   	2002	M07	         1.6	
JTS00000000LDR   	2002	M08	         1.5	
JTS00000000LDR   	2002	M09	         1.5	
JTS00000000LDR   	2002	M10	         1.5	
JTS00000000LDR   	2002	M11	         1.5	
JTS00000000LDR   	2002	M12	         1.5	
JTS00000000LDR   	2003	M01	         1.6	
JTS00000000LDR   	2003	M02	         1.5	
JTS00000000LDR   	2003	M03	         1.5	
JTS00000000LDR   	2003	M04	         1.5	
JTS00000000LDR   	2003	M05	         1.6	
JTS00000000LDR   	2003	M06	         1.6	
JTS00000000LDR   	2003	M07	         1.6	
JTS00000000LDR   	2003	M08	         1.7	
JTS00000000LDR   	2003	M09	         1.5	
JTS00000000LDR   	2003	M10	         1.5	
JTS00000000LDR   	2003	M11	         1.5	
JTS00000000LDR   	2003	M12	         1.5	
JTS00000000LDR   	2004	M01	         1.6	
JTS00000000LDR   	2004	M02	         1.5	
JTS00000000LDR   	2004	M03	         1.6	
JTS00000000LDR   	2004	M04	         1.5	
JTS00000000LDR   	2004	M05	         1.5	
JTS00000000LDR   	2004	M06	         1.4	
JTS00000000LDR   	2004	M07	         1.4	
JTS00000000LDR   	2004	M08	         1.5	
JTS00000000LDR   	2004	M09	         1.5	
JTS00000000LDR   	2004	M10	         1.4	
JTS00000000LDR   	2004	M11	         1.5	
JTS00000000LDR   	2004	M12	         1.5	
JTS00000000LDR   	2005	M01	         1.5	
JTS00000000LDR   	2005	M02	         1.5	
JTS00000000LDR   	2005	M03	         1.6	
JTS00000000LDR   	2005	M04	         1.5	
JTS00000000LDR   	2005	M05	         1.5	
JTS00000000LDR   	2005	M06	         1.5	
JTS00000000LDR   	2005	M07	         1.4	
JTS00000000LDR   	2005	M08	         1.4	
JTS00000000LDR   	2005	M09	         1.5	
JTS00000000LDR   	2005	M10	         1.4	
JTS00000000LDR   	2005	M11	         1.3	
JTS00000000LDR   	2005	M12	         1.4	
JTS00000000LDR   	2006	M01	         1.3	
JTS00000000LDR   	2006	M02	         1.4	
JTS00000000LDR   	2006	M03	         1.4	
JTS00000000LDR   	2006	M04	         1.4	
JTS00000000LDR   	2006	M05	         1.5	
JTS00000000LDR   	2006	M06	         1.3	
JTS00000000LDR   	2006	M07	         1.4	
JTS00000000LDR   	2006	M08	         1.3	
JTS00000000LDR   	2006	M09	         1.3	
JTS00000000LDR   	2006	M10	         1.4	
JTS00000000LDR   	2006	M11	         1.4	
JTS00000000LDR   	2006	M12	         1.3	
JTS00000000LDR   	2007	M01	         1.4	
JTS00000000LDR   	2007	M02	         1.3	
JTS00000000LDR   	2007	M03	         1.4	
JTS00000000LDR   	2007	M04	         1.5	
JTS00000000LDR   	2007	M05	         1.4	
JTS00000000LDR   	2007	M06	         1.3	
JTS00000000LDR   	2007	M07	         1.4	
JTS00000000LDR   	2007	M08	         1.5	
JTS00000000LDR   	2007	M09	         1.6	
JTS00000000LDR   	2007	M10	         1.5	
JTS00000000LDR   	2007	M11	         1.4	
JTS00000000LDR   	2007	M12	         1.4	
JTS00000000LDR   	2008	M01	         1.5	
JTS00000000LDR   	2008	M02	         1.4	
JTS00000000LDR   	2008	M03	         1.4	
JTS00000000LDR   	2008	M04	         1.4	
JTS00000000LDR   	2008	M05	         1.4	
JTS00000000LDR   	2008	M06	         1.6	
JTS00000000LDR   	2008	M07	         1.5	
JTS00000000LDR   	2008	M08	         1.6	
JTS00000000LDR   	2008	M09	         1.5	
JTS00000000LDR   	2008	M10	         1.7	
JTS00000000LDR   	2008	M11	         1.7	
JTS00000000LDR   	2008	M12	         1.9	
JTS00000000LDR   	2009	M01	         1.9	
JTS00000000LDR   	2009	M02	         1.9	
JTS00000000LDR   	2009	M03	         1.9	
JTS00000000LDR   	2009	M04	         2.0	
JTS00000000LDR   	2009	M05	         1.7	
JTS00000000LDR   	2009	M06	         1.7	
JTS00000000LDR   	2009	M07	         1.7	
JTS00000000LDR   	2009	M08	         1.6	
JTS00000000LDR   	2009	M09	         1.7	
JTS00000000LDR   	2009	M10	         1.6	
JTS00000000LDR   	2009	M11	         1.5	
JTS00000000LDR   	2009	M12	         1.6	
JTS00000000LDR   	2010	M01	         1.5	
JTS00000000LDR   	2010	M02	         1.4	
JTS00000000LDR   	2010	M03	         1.5	
JTS00000000LDR   	2010	M04	         1.3	
JTS00000000LDR   	2010	M05	         1.3	
JTS00000000LDR   	2010	M06	         1.6	
JTS00000000LDR   	2010	M07	         1.7	
JTS00000000LDR   	2010	M08	         1.4	
JTS00000000LDR   	2010	M09	         1.4	
JTS00000000LDR   	2010	M10	         1.3	
JTS00000000LDR   	2010	M11	         1.4	
JTS00000000LDR   	2010	M12	         1.4	
JTS00000000LDR   	2011	M01	         1.4	
JTS00000000LDR   	2011	M02	         1.3	
JTS00000000LDR   	2011	M03	         1.4	
JTS00000000LDR   	2011	M04	         1.4	
JTS00000000LDR   	2011	M05	         1.4	
JTS00000000LDR   	2011	M06	         1.5	
JTS00000000LDR   	2011	M07	         1.4	
JTS00000000LDR   	2011	M08	         1.4	
JTS00000000LDR   	2011	M09	         1.4	
JTS00000000LDR   	2011	M10	         1.4	
JTS00000000LDR   	2011	M11	         1.4	
JTS00000000LDR   	2011	M12	         1.4	
JTS00000000LDR   	2012	M01	         1.4	
JTS00000000LDR   	2012	M02	         1.4	
JTS00000000LDR   	2012	M03	         1.3	
JTS00000000LDR   	2012	M04	         1.4	
JTS00000000LDR   	2012	M05	         1.5	
JTS00000000LDR   	2012	M06	         1.4	
JTS00000000LDR   	2012	M07	         1.3	
JTS00000000LDR   	2012	M08	         1.4	
JTS00000000LDR   	2012	M09	         1.3	
JTS00000000LDR   	2012	M10	         1.4	
JTS00000000LDR   	2012	M11	         1.4	
JTS00000000LDR   	2012	M12	         1.3	
JTS00000000LDR   	2013	M01	         1.2	
JTS00000000LDR   	2013	M02	         1.2	
JTS00000000LDR   	2013	M03	         1.3	
JTS00000000LDR   	2013	M04	         1.3	
JTS00000000LDR   	2013	M05	         1.3	
JTS00000000LDR   	2013	M06	         1.3	
JTS00000000LDR   	2013	M07	         1.3	
JTS00000000LDR   	2013	M08	         1.3	
