series_id        	year	period	       value	footnote_codes
JTS00000000QUL   	2000	M12	        2868	
JTS00000000QUL   	2001	M01	        3261	
JTS00000000QUL   	2001	M02	        3040	
JTS00000000QUL   	2001	M03	        3041	
JTS00000000QUL   	2001	M04	        3172	
JTS00000000QUL   	2001	M05	        2991	
JTS00000000QUL   	2001	M06	        2886	
JTS00000000QUL   	2001	M07	        2969	
JTS00000000QUL   	2001	M08	        2933	
JTS00000000QUL   	2001	M09	        2704	
JTS00000000QUL   	2001	M10	        2798	
JTS00000000QUL   	2001	M11	        2544	
JTS00000000QUL   	2001	M12	        2553	
JTS00000000QUL   	2002	M01	        2857	
JTS00000000QUL   	2002	M02	        2558	
JTS00000000QUL   	2002	M03	        2479	
JTS00000000QUL   	2002	M04	        2633	
JTS00000000QUL   	2002	M05	        2536	
JTS00000000QUL   	2002	M06	        2529	
JTS00000000QUL   	2002	M07	        2579	
JTS00000000QUL   	2002	M08	        2567	
JTS00000000QUL   	2002	M09	        2522	
JTS00000000QUL   	2002	M10	        2426	
JTS00000000QUL   	2002	M11	        2388	
JTS00000000QUL   	2002	M12	        2490	
JTS00000000QUL   	2003	M01	        2436	
JTS00000000QUL   	2003	M02	        2473	
JTS00000000QUL   	2003	M03	        2382	
JTS00000000QUL   	2003	M04	        2289	
JTS00000000QUL   	2003	M05	        2290	
JTS00000000QUL   	2003	M06	        2322	
JTS00000000QUL   	2003	M07	        2283	
JTS00000000QUL   	2003	M08	        2201	
JTS00000000QUL   	2003	M09	        2357	
JTS00000000QUL   	2003	M10	        2421	
JTS00000000QUL   	2003	M11	        2395	
JTS00000000QUL   	2003	M12	        2436	
JTS00000000QUL   	2004	M01	        2360	
JTS00000000QUL   	2004	M02	        2437	
JTS00000000QUL   	2004	M03	        2573	
JTS00000000QUL   	2004	M04	        2541	
JTS00000000QUL   	2004	M05	        2427	
JTS00000000QUL   	2004	M06	        2667	
JTS00000000QUL   	2004	M07	        2631	
JTS00000000QUL   	2004	M08	        2591	
JTS00000000QUL   	2004	M09	        2535	
JTS00000000QUL   	2004	M10	        2558	
JTS00000000QUL   	2004	M11	        2776	
JTS00000000QUL   	2004	M12	        2687	
JTS00000000QUL   	2005	M01	        2740	
JTS00000000QUL   	2005	M02	        2642	
JTS00000000QUL   	2005	M03	        2738	
JTS00000000QUL   	2005	M04	        2747	
JTS00000000QUL   	2005	M05	        2763	
JTS00000000QUL   	2005	M06	        2759	
JTS00000000QUL   	2005	M07	        2744	
JTS00000000QUL   	2005	M08	        2963	
JTS00000000QUL   	2005	M09	        3051	
JTS00000000QUL   	2005	M10	        2869	
JTS00000000QUL   	2005	M11	        2881	
JTS00000000QUL   	2005	M12	        2841	
JTS00000000QUL   	2006	M01	        2949	
JTS00000000QUL   	2006	M02	        2948	
JTS00000000QUL   	2006	M03	        2948	
JTS00000000QUL   	2006	M04	        2783	
JTS00000000QUL   	2006	M05	        3003	
JTS00000000QUL   	2006	M06	        3046	
JTS00000000QUL   	2006	M07	        3059	
JTS00000000QUL   	2006	M08	        3062	
JTS00000000QUL   	2006	M09	        2895	
JTS00000000QUL   	2006	M10	        2992	
JTS00000000QUL   	2006	M11	        3025	
JTS00000000QUL   	2006	M12	        2987	
JTS00000000QUL   	2007	M01	        2959	
JTS00000000QUL   	2007	M02	        2921	
JTS00000000QUL   	2007	M03	        2985	
JTS00000000QUL   	2007	M04	        2913	
JTS00000000QUL   	2007	M05	        3012	
JTS00000000QUL   	2007	M06	        2912	
JTS00000000QUL   	2007	M07	        2958	
JTS00000000QUL   	2007	M08	        3023	
JTS00000000QUL   	2007	M09	        2698	
JTS00000000QUL   	2007	M10	        2933	
JTS00000000QUL   	2007	M11	        2774	
JTS00000000QUL   	2007	M12	        2763	
JTS00000000QUL   	2008	M01	        2851	
JTS00000000QUL   	2008	M02	        2866	
JTS00000000QUL   	2008	M03	        2652	
JTS00000000QUL   	2008	M04	        2840	
JTS00000000QUL   	2008	M05	        2609	
JTS00000000QUL   	2008	M06	        2597	
JTS00000000QUL   	2008	M07	        2495	
JTS00000000QUL   	2008	M08	        2452	
JTS00000000QUL   	2008	M09	        2477	
JTS00000000QUL   	2008	M10	        2352	
JTS00000000QUL   	2008	M11	        2148	
JTS00000000QUL   	2008	M12	        2081	
JTS00000000QUL   	2009	M01	        1978	
JTS00000000QUL   	2009	M02	        1945	
JTS00000000QUL   	2009	M03	        1829	
JTS00000000QUL   	2009	M04	        1713	
JTS00000000QUL   	2009	M05	        1684	
JTS00000000QUL   	2009	M06	        1686	
JTS00000000QUL   	2009	M07	        1689	
JTS00000000QUL   	2009	M08	        1561	
JTS00000000QUL   	2009	M09	        1631	
JTS00000000QUL   	2009	M10	        1663	
JTS00000000QUL   	2009	M11	        1803	
JTS00000000QUL   	2009	M12	        1758	
JTS00000000QUL   	2010	M01	        1744	
JTS00000000QUL   	2010	M02	        1834	
JTS00000000QUL   	2010	M03	        1853	
JTS00000000QUL   	2010	M04	        1898	
JTS00000000QUL   	2010	M05	        1814	
JTS00000000QUL   	2010	M06	        1911	
JTS00000000QUL   	2010	M07	        1789	
JTS00000000QUL   	2010	M08	        1852	
JTS00000000QUL   	2010	M09	        1901	
JTS00000000QUL   	2010	M10	        1848	
JTS00000000QUL   	2010	M11	        1881	
JTS00000000QUL   	2010	M12	        1968	
JTS00000000QUL   	2011	M01	        1833	
JTS00000000QUL   	2011	M02	        1952	
JTS00000000QUL   	2011	M03	        2028	
JTS00000000QUL   	2011	M04	        1883	
JTS00000000QUL   	2011	M05	        1966	
JTS00000000QUL   	2011	M06	        1923	
JTS00000000QUL   	2011	M07	        1990	
JTS00000000QUL   	2011	M08	        2043	
JTS00000000QUL   	2011	M09	        2045	
JTS00000000QUL   	2011	M10	        2000	
JTS00000000QUL   	2011	M11	        2031	
JTS00000000QUL   	2011	M12	        1975	
JTS00000000QUL   	2012	M01	        2032	
JTS00000000QUL   	2012	M02	        2123	
JTS00000000QUL   	2012	M03	        2163	
JTS00000000QUL   	2012	M04	        2136	
JTS00000000QUL   	2012	M05	        2140	
JTS00000000QUL   	2012	M06	        2151	
JTS00000000QUL   	2012	M07	        2075	
JTS00000000QUL   	2012	M08	        2080	
JTS00000000QUL   	2012	M09	        1957	
JTS00000000QUL   	2012	M10	        2037	
JTS00000000QUL   	2012	M11	        2070	
JTS00000000QUL   	2012	M12	        2045	
JTS00000000QUL   	2013	M01	        2281	
JTS00000000QUL   	2013	M02	        2281	
JTS00000000QUL   	2013	M03	        2118	
JTS00000000QUL   	2013	M04	        2297	
JTS00000000QUL   	2013	M05	        2237	
JTS00000000QUL   	2013	M06	        2203	
JTS00000000QUL   	2013	M07	        2367	
JTS00000000QUL   	2013	M08	        2331	
JTS00000000QUL   	2013	M09	        2307	
JTS00000000QUL   	2013	M10	        2374	
JTS00000000QUL   	2013	M11	        2384	
JTS00000000QUL   	2013	M12	        2281	
JTS00000000QUL   	2014	M01	        2312	
JTS00000000QUL   	2014	M02	        2401	
JTS00000000QUL   	2014	M03	        2441	
JTS00000000QUL   	2014	M04	        2476	
JTS00000000QUL   	2014	M05	        2486	
JTS00000000QUL   	2014	M06	        2506	
JTS00000000QUL   	2014	M07	        2637	
JTS00000000QUL   	2014	M08	        2564	
JTS00000000QUL   	2014	M09	        2737	
JTS00000000QUL   	2014	M10	        2721	
JTS00000000QUL   	2014	M11	        2588	
JTS00000000QUL   	2014	M12	        2543	
JTS00000000QUL   	2015	M01	        2766	
JTS00000000QUL   	2015	M02	        2731	
JTS00000000QUL   	2015	M03	        2748	
JTS00000000QUL   	2015	M04	        2706	
JTS00000000QUL   	2015	M05	        2746	
JTS00000000QUL   	2015	M06	        2756	
JTS00000000QUL   	2015	M07	        2768	
JTS00000000QUL   	2015	M08	        2888	
JTS00000000QUL   	2015	M09	        2783	
JTS00000000QUL   	2015	M10	        2814	
JTS00000000QUL   	2015	M11	        2891	
JTS00000000QUL   	2015	M12	        3043	
JTS00000000QUL   	2016	M01	        2893	
JTS00000000QUL   	2016	M02	        2997	
JTS00000000QUL   	2016	M03	        2900	
JTS00000000QUL   	2016	M04	        2954	
JTS00000000QUL   	2016	M05	        3010	
JTS00000000QUL   	2016	M06	        2988	
JTS00000000QUL   	2016	M07	        2976	
JTS00000000QUL   	2016	M08	        3007	
JTS00000000QUL   	2016	M09	        3044	
JTS00000000QUL   	2016	M10	        3078	
JTS00000000QUL   	2016	M11	        3017	
JTS00000000QUL   	2016	M12	        2986	
JTS00000000QUL   	2017	M01	        3176	
JTS00000000QUL   	2017	M02	        3081	
JTS00000000QUL   	2017	M03	        3134	
JTS00000000QUL   	2017	M04	        3034	
JTS00000000QUL   	2017	M05	        3126	
JTS00000000QUL   	2017	M06	        3157	
JTS00000000QUL   	2017	M07	        3118	
JTS00000000QUL   	2017	M08	        3134	
JTS00000000QUL   	2017	M09	        3212	
JTS00000000QUL   	2017	M10	        3193	
JTS00000000QUL   	2017	M11	        3157	
JTS00000000QUL   	2017	M12	        3222	
JTS00000000QUL   	2018	M01	        3034	
JTS00000000QUL   	2018	M02	        3175	
JTS00000000QUL   	2018	M03	        3301	
JTS00000000QUL   	2018	M04	        3373	
JTS00000000QUL   	2018	M05	        3405	
JTS00000000QUL   	2018	M06	        3389	
JTS00000000QUL   	2018	M07	        3443	
JTS00000000QUL   	2018	M08	        3446	
JTS00000000QUL   	2018	M09	        3400	
JTS00000000QUL   	2018	M10	        3485	
JTS00000000QUL   	2018	M11	        3460	
JTS00000000QUL   	2018	M12	        3415	
JTS00000000QUL   	2019	M01	        3530	
JTS00000000QUL   	2019	M02	        3541	
JTS00000000QUL   	2019	M03	        3525	
JTS00000000QUL   	2019	M04	        3492	
JTS00000000QUL   	2019	M05	        3486	
JTS00000000QUL   	2019	M06	        3481	
JTS00000000QUL   	2019	M07	        3612	
JTS00000000QUL   	2019	M08	        3544	
JTS00000000QUL   	2019	M09	        3429	
JTS00000000QUL   	2019	M10	        3442	
JTS00000000QUL   	2019	M11	        3528	
JTS00000000QUL   	2019	M12	        3528	
JTS00000000QUL   	2020	M01	        3575	C
JTS00000000QUL   	2020	M02	        3436	
JTS00000000QUL   	2020	M03	        2789	
JTS00000000QUL   	2020	M04	        1877	
JTS00000000QUL   	2020	M05	        2067	
JTS00000000QUL   	2020	M06	        2598	P
JTS00000000QUR   	2000	M12	         2.2	
JTS00000000QUR   	2001	M01	         2.5	
JTS00000000QUR   	2001	M02	         2.3	
JTS00000000QUR   	2001	M03	         2.3	
JTS00000000QUR   	2001	M04	         2.4	
JTS00000000QUR   	2001	M05	         2.3	
JTS00000000QUR   	2001	M06	         2.2	
JTS00000000QUR   	2001	M07	         2.2	
JTS00000000QUR   	2001	M08	         2.2	
JTS00000000QUR   	2001	M09	         2.1	
JTS00000000QUR   	2001	M10	         2.1	
JTS00000000QUR   	2001	M11	         1.9	
JTS00000000QUR   	2001	M12	         1.9	
JTS00000000QUR   	2002	M01	         2.2	
JTS00000000QUR   	2002	M02	         2.0	
JTS00000000QUR   	2002	M03	         1.9	
JTS00000000QUR   	2002	M04	         2.0	
JTS00000000QUR   	2002	M05	         1.9	
JTS00000000QUR   	2002	M06	         1.9	
JTS00000000QUR   	2002	M07	         2.0	
JTS00000000QUR   	2002	M08	         2.0	
JTS00000000QUR   	2002	M09	         1.9	
JTS00000000QUR   	2002	M10	         1.9	
JTS00000000QUR   	2002	M11	         1.8	
JTS00000000QUR   	2002	M12	         1.9	
JTS00000000QUR   	2003	M01	         1.9	
JTS00000000QUR   	2003	M02	         1.9	
JTS00000000QUR   	2003	M03	         1.8	
JTS00000000QUR   	2003	M04	         1.8	
JTS00000000QUR   	2003	M05	         1.8	
JTS00000000QUR   	2003	M06	         1.8	
JTS00000000QUR   	2003	M07	         1.8	
JTS00000000QUR   	2003	M08	         1.7	
JTS00000000QUR   	2003	M09	         1.8	
JTS00000000QUR   	2003	M10	         1.9	
JTS00000000QUR   	2003	M11	         1.8	
JTS00000000QUR   	2003	M12	         1.9	
JTS00000000QUR   	2004	M01	         1.8	
JTS00000000QUR   	2004	M02	         1.9	
JTS00000000QUR   	2004	M03	         2.0	
JTS00000000QUR   	2004	M04	         1.9	
JTS00000000QUR   	2004	M05	         1.8	
JTS00000000QUR   	2004	M06	         2.0	
JTS00000000QUR   	2004	M07	         2.0	
JTS00000000QUR   	2004	M08	         2.0	
JTS00000000QUR   	2004	M09	         1.9	
JTS00000000QUR   	2004	M10	         1.9	
JTS00000000QUR   	2004	M11	         2.1	
JTS00000000QUR   	2004	M12	         2.0	
JTS00000000QUR   	2005	M01	         2.1	
JTS00000000QUR   	2005	M02	         2.0	
JTS00000000QUR   	2005	M03	         2.1	
JTS00000000QUR   	2005	M04	         2.1	
JTS00000000QUR   	2005	M05	         2.1	
JTS00000000QUR   	2005	M06	         2.1	
JTS00000000QUR   	2005	M07	         2.0	
