series_id        	year	period	       value	footnote_codes
JTS00000000TSL   	2000	M12	        5235	
JTS00000000TSL   	2001	M01	        5925	
JTS00000000TSL   	2001	M02	        5178	
JTS00000000TSL   	2001	M03	        5529	
JTS00000000TSL   	2001	M04	        5428	
JTS00000000TSL   	2001	M05	        5383	
JTS00000000TSL   	2001	M06	        5240	
JTS00000000TSL   	2001	M07	        5440	
JTS00000000TSL   	2001	M08	        5358	
JTS00000000TSL   	2001	M09	        5186	
JTS00000000TSL   	2001	M10	        5471	
JTS00000000TSL   	2001	M11	        5124	
JTS00000000TSL   	2001	M12	        4846	
JTS00000000TSL   	2002	M01	        5184	
JTS00000000TSL   	2002	M02	        4876	
JTS00000000TSL   	2002	M03	        4710	
JTS00000000TSL   	2002	M04	        4990	
JTS00000000TSL   	2002	M05	        4827	
JTS00000000TSL   	2002	M06	        4872	
JTS00000000TSL   	2002	M07	        5101	
JTS00000000TSL   	2002	M08	        4845	
JTS00000000TSL   	2002	M09	        4919	
JTS00000000TSL   	2002	M10	        4736	
JTS00000000TSL   	2002	M11	        4724	
JTS00000000TSL   	2002	M12	        4919	
JTS00000000TSL   	2003	M01	        5035	
JTS00000000TSL   	2003	M02	        4826	
JTS00000000TSL   	2003	M03	        4703	
JTS00000000TSL   	2003	M04	        4668	
JTS00000000TSL   	2003	M05	        4712	
JTS00000000TSL   	2003	M06	        4707	
JTS00000000TSL   	2003	M07	        4700	
JTS00000000TSL   	2003	M08	        4678	
JTS00000000TSL   	2003	M09	        4639	
JTS00000000TSL   	2003	M10	        4756	
JTS00000000TSL   	2003	M11	        4674	
JTS00000000TSL   	2003	M12	        4777	
JTS00000000TSL   	2004	M01	        4791	
JTS00000000TSL   	2004	M02	        4705	
JTS00000000TSL   	2004	M03	        4958	
JTS00000000TSL   	2004	M04	        4874	
JTS00000000TSL   	2004	M05	        4685	
JTS00000000TSL   	2004	M06	        4889	
JTS00000000TSL   	2004	M07	        4868	
JTS00000000TSL   	2004	M08	        4907	
JTS00000000TSL   	2004	M09	        4885	
JTS00000000TSL   	2004	M10	        4803	
JTS00000000TSL   	2004	M11	        5113	
JTS00000000TSL   	2004	M12	        4955	
JTS00000000TSL   	2005	M01	        5106	
JTS00000000TSL   	2005	M02	        5039	
JTS00000000TSL   	2005	M03	        5204	
JTS00000000TSL   	2005	M04	        5016	
JTS00000000TSL   	2005	M05	        5107	
JTS00000000TSL   	2005	M06	        5086	
JTS00000000TSL   	2005	M07	        4972	
JTS00000000TSL   	2005	M08	        5215	
JTS00000000TSL   	2005	M09	        5401	
JTS00000000TSL   	2005	M10	        5066	
JTS00000000TSL   	2005	M11	        4989	
JTS00000000TSL   	2005	M12	        5164	
JTS00000000TSL   	2006	M01	        5113	
JTS00000000TSL   	2006	M02	        5180	
JTS00000000TSL   	2006	M03	        5196	
JTS00000000TSL   	2006	M04	        5074	
JTS00000000TSL   	2006	M05	        5417	
JTS00000000TSL   	2006	M06	        5262	
JTS00000000TSL   	2006	M07	        5366	
JTS00000000TSL   	2006	M08	        5207	
JTS00000000TSL   	2006	M09	        5090	
JTS00000000TSL   	2006	M10	        5319	
JTS00000000TSL   	2006	M11	        5324	
JTS00000000TSL   	2006	M12	        5127	
JTS00000000TSL   	2007	M01	        5314	
JTS00000000TSL   	2007	M02	        5117	
JTS00000000TSL   	2007	M03	        5196	
JTS00000000TSL   	2007	M04	        5286	
JTS00000000TSL   	2007	M05	        5292	
JTS00000000TSL   	2007	M06	        5103	
JTS00000000TSL   	2007	M07	        5253	
JTS00000000TSL   	2007	M08	        5398	
JTS00000000TSL   	2007	M09	        5191	
JTS00000000TSL   	2007	M10	        5271	
JTS00000000TSL   	2007	M11	        5093	
JTS00000000TSL   	2007	M12	        5041	
JTS00000000TSL   	2008	M01	        5194	
JTS00000000TSL   	2008	M02	        5184	
JTS00000000TSL   	2008	M03	        4910	
JTS00000000TSL   	2008	M04	        5182	
JTS00000000TSL   	2008	M05	        4840	
JTS00000000TSL   	2008	M06	        5043	
JTS00000000TSL   	2008	M07	        4868	
JTS00000000TSL   	2008	M08	        5014	
JTS00000000TSL   	2008	M09	        4901	
JTS00000000TSL   	2008	M10	        4977	
JTS00000000TSL   	2008	M11	        4787	
