"","year","period","industry_text","value_earnings","value_jo","value_hi","value_ts","value_qu","value_dl","turnover","growth"
"1",2000,"12","Construction",6792,172,414,425,107,294,"medium_turnover","medium_growth"
"2",2000,"12","Education and health services",15465,909,515,460,304,123,"medium_turnover","high_growth"
"3",2000,"12","Financial activities",7839,271,254,216,163,33,"low_turnover","low_growth"
"4",2000,"12","Government",20804,504,342,298,143,111,"low_turnover","medium_growth"
"5",2000,"12","Information",3705,130,111,98,60,31,"low_turnover","low_growth"
"6",2000,"12","Leisure and hospitality",11976,566,890,833,571,234,"high_turnover","medium_growth"
"7",2000,"12","Manufacturing",17181,374,504,576,321,208,"high_turnover","medium_growth"
"8",2000,"12","Mining and logging",602,7,23,23,9,12,"low_turnover","low_growth"
"9",2000,"12","Other services",5196,299,132,135,93,40,"low_turnover","low_growth"
"10",2000,"12","Professional and business services",16869,871,966,989,467,476,"high_turnover","high_growth"
"11",2000,"12","Retail trade",15379.4,502,981,885,505,343,"high_turnover","high_growth"
"12",2000,"12","Total private",111905,4364,5084,4937,2725,1925,"high_turnover","high_growth"
"13",2000,"12","Trade, transportation, and utilities",26280,766,1276,1183,630,474,"high_turnover","high_growth"
"14",2001,"01","Construction",6824,223,495,453,161,264,"medium_turnover","medium_growth"
"15",2001,"01","Education and health services",15516,846,505,464,296,129,"medium_turnover","high_growth"
"16",2001,"01","Financial activities",7845,243,285,282,183,73,"low_turnover","low_growth"
"17",2001,"01","Government",20835,466,337,305,160,94,"low_turnover","medium_growth"
"18",2001,"01","Information",3710,261,171,165,102,44,"low_turnover","low_growth"
"19",2001,"01","Leisure and hospitality",11977,654,919,985,671,252,"high_turnover","medium_growth"
"20",2001,"01","Manufacturing",17104,491,498,576,296,235,"high_turnover","high_growth"
"21",2001,"01","Mining and logging",605,13,22,21,11,9,"low_turnover","low_growth"
"22",2001,"01","Other services",5204,310,180,170,75,63,"low_turnover","low_growth"
"23",2001,"01","Professional and business services",16876,888,1129,1186,573,565,"high_turnover","high_growth"
"24",2001,"01","Retail trade",15358.6,533,900,958,521,368,"high_turnover","high_growth"
"25",2001,"01","Total private",111863,4895,5385,5621,3101,2125,"high_turnover","high_growth"
"26",2001,"01","Trade, transportation, and utilities",26202,965,1181,1319,733,489,"high_turnover","high_growth"
"27",2001,"02","Construction",6841,211,486,481,180,294,"medium_turnover","medium_growth"
"28",2001,"02","Education and health services",15573,809,527,478,326,119,"medium_turnover","high_growth"
"29",2001,"02","Financial activities",7867,259,251,214,133,63,"low_turnover","low_growth"
"30",2001,"02","Government",20906,460,366,314,168,99,"low_turnover","medium_growth"
"31",2001,"02","Information",3716,149,135,118,66,43,"low_turnover","low_growth"
"32",2001,"02","Leisure and hospitality",11997,601,878,795,557,202,"high_turnover","medium_growth"
"33",2001,"02","Manufacturing",17028,403,438,530,254,239,"high_turnover","high_growth"
"34",2001,"02","Mining and logging",605,8,19,19,8,6,"low_turnover","low_growth"
"35",2001,"02","Other services",5198,125,192,190,140,28,"low_turnover","low_growth"
"36",2001,"02","Professional and business services",16851,1032,928,945,445,478,"high_turnover","high_growth"
"37",2001,"02","Retail trade",15384.1,586,758,764,554,162,"medium_turnover","high_growth"
"38",2001,"02","Total private",111883,4548,4938,4864,2872,1740,"high_turnover","high_growth"
"39",2001,"02","Trade, transportation, and utilities",26207,952,1083,1094,763,267,"high_turnover","high_growth"
"40",2001,"03","Construction",6862,189,575,527,196,310,"high_turnover","medium_growth"
"41",2001,"03","Education and health services",15629,808,564,491,329,125,"medium_turnover","high_growth"
"42",2001,"03","Financial activities",7885,292,238,203,147,43,"low_turnover","low_growth"
"43",2001,"03","Government",20945,466,346,307,164,100,"low_turnover","medium_growth"
"44",2001,"03","Information",3718,128,110,104,67,23,"low_turnover","low_growth"
"45",2001,"03","Leisure and hospitality",12000,695,935,942,558,353,"high_turnover","medium_growth"
"46",2001,"03","Manufacturing",16938,398,466,560,241,274,"high_turnover","high_growth"
"47",2001,"03","Mining and logging",609,17,25,21,10,9,"low_turnover","low_growth"
"48",2001,"03","Other services",5201,142,230,238,97,122,"low_turnover","low_growth"
"49",2001,"03","Professional and business services",16802,901,946,1014,510,447,"high_turnover","high_growth"
"50",2001,"03","Retail trade",15348.7,431,802,819,527,243,"high_turnover","high_growth"
"51",2001,"03","Total private",111802,4233,5182,5222,2877,2026,"high_turnover","high_growth"
"52",2001,"03","Trade, transportation, and utilities",26158,662,1093,1123,723,321,"high_turnover","high_growth"
"53",2001,"04","Construction",6844,285,458,435,201,203,"high_turnover","medium_growth"
"54",2001,"04","Education and health services",15671,721,486,455,316,104,"medium_turnover","high_growth"
"55",2001,"04","Financial activities",7889,234,222,254,135,96,"low_turnover","low_growth"
"56",2001,"04","Government",20992,510,334,276,131,92,"low_turnover","medium_growth"
"57",2001,"04","Information",3686,177,124,169,98,55,"low_turnover","low_growth"
"58",2001,"04","Leisure and hospitality",12040,582,998,908,605,277,"high_turnover","medium_growth"
"59",2001,"04","Manufacturing",16802,367,443,568,228,296,"high_turnover","medium_growth"
"60",2001,"04","Mining and logging",608,18,18,20,11,8,"low_turnover","low_growth"
"61",2001,"04","Other services",5219,162,211,195,110,71,"low_turnover","low_growth"
"62",2001,"04","Professional and business services",16675,834,764,911,575,279,"high_turnover","high_growth"
"63",2001,"04","Retail trade",15264.1,502,827,890,576,260,"high_turnover","high_growth"
"64",2001,"04","Total private",111471,4242,4871,5152,3041,1788,"high_turnover","high_growth"
"65",2001,"04","Trade, transportation, and utilities",26037,862,1148,1237,762,398,"high_turnover","high_growth"
"66",2001,"05","Construction",6849,283,480,478,180,281,"medium_turnover","medium_growth"
"67",2001,"05","Education and health services",15747,826,512,442,307,112,"medium_turnover","high_growth"
"68",2001,"05","Financial activities",7900,265,213,190,104,58,"low_turnover","low_growth"
"69",2001,"05","Government",21029,499,367,324,179,95,"low_turnover","medium_growth"
"70",2001,"05","Information",3663,94,115,132,81,47,"low_turnover","low_growth"
"71",2001,"05","Leisure and hospitality",12068,527,921,869,574,251,"high_turnover","medium_growth"
"72",2001,"05","Manufacturing",16661,339,398,548,206,306,"high_turnover","medium_growth"
"73",2001,"05","Mining and logging",609,12,26,23,11,10,"low_turnover","low_growth"
"74",2001,"05","Other services",5238,192,143,129,96,31,"low_turnover","low_growth"
"75",2001,"05","Professional and business services",16632,750,949,1021,523,422,"high_turnover","high_growth"
"76",2001,"05","Retail trade",15259.2,487,933,854,532,276,"high_turnover","high_growth"
"77",2001,"05","Total private",111381,4005,5043,5059,2812,1946,"high_turnover","high_growth"
"78",2001,"05","Trade, transportation, and utilities",26014,718,1288,1228,730,427,"high_turnover","high_growth"
"79",2001,"06","Construction",6840,178,451,459,172,269,"medium_turnover","medium_growth"
"80",2001,"06","Education and health services",15779,758,487,470,307,112,"medium_turnover","high_growth"
"81",2001,"06","Financial activities",7905,258,224,228,137,51,"low_turnover","low_growth"
"82",2001,"06","Government",21137,568,361,262,133,88,"low_turnover","medium_growth"
"83",2001,"06","Information",3642,90,113,133,73,52,"low_turnover","low_growth"
"84",2001,"06","Leisure and hospitality",12076,447,873,831,551,250,"high_turnover","medium_growth"
"85",2001,"06","Manufacturing",16515,342,398,551,205,302,"high_turnover","medium_growth"
"86",2001,"06","Mining and logging",610,10,32,27,13,12,"low_turnover","low_growth"
"87",2001,"06","Other services",5250,248,163,137,75,60,"low_turnover","low_growth"
"88",2001,"06","Professional and business services",16566,768,921,976,500,406,"high_turnover","high_growth"
"89",2001,"06","Retail trade",15262.9,462,812,841,527,291,"high_turnover","high_growth"
"90",2001,"06","Total private",111162,3810,4748,4978,2754,1916,"high_turnover","high_growth"
"91",2001,"06","Trade, transportation, and utilities",25979,712,1086,1166,720,403,"high_turnover","high_growth"
"92",2001,"07","Construction",6845,199,444,431,182,211,"medium_turnover","medium_growth"
"93",2001,"07","Education and health services",15840,816,530,457,291,138,"medium_turnover","high_growth"
"94",2001,"07","Financial activities",7892,266,223,259,183,51,"low_turnover","low_growth"
"95",2001,"07","Government",21185,518,350,293,161,81,"low_turnover","medium_growth"
"96",2001,"07","Information",3619,132,121,152,85,46,"low_turnover","low_growth"
"97",2001,"07","Leisure and hospitality",12110,588,928,923,563,316,"high_turnover","medium_growth"
"98",2001,"07","Manufacturing",16382,343,371,505,172,294,"medium_turnover","medium_growth"
"99",2001,"07","Mining and logging",610,16,27,30,11,11,"low_turnover","low_growth"
"100",2001,"07","Other services",5268,242,186,177,106,53,"low_turnover","low_growth"
"101",2001,"07","Professional and business services",16512,756,946,999,515,408,"high_turnover","high_growth"
"102",2001,"07","Retail trade",15207.4,409,808,858,534,285,"high_turnover","high_growth"
"103",2001,"07","Total private",110992,4060,4895,5147,2808,1980,"high_turnover","high_growth"
"104",2001,"07","Trade, transportation, and utilities",25914,700,1118,1214,699,452,"high_turnover","high_growth"
"105",2001,"08","Construction",6827,128,410,452,163,251,"medium_turnover","medium_growth"
"106",2001,"08","Education and health services",15903,845,527,464,287,135,"medium_turnover","high_growth"
"107",2001,"08","Financial activities",7916,255,235,222,140,47,"low_turnover","low_growth"
