year,period,industry_text,value_earnings,value_jo,value_hi,value_ts,value_qu,value_dl,turnover,growth
2000,12,Construction,6792,172,414,425,107,294,medium_turnover,medium_growth
2000,12,Education and health services,15465,909,515,460,304,123,medium_turnover,high_growth
2000,12,Financial activities,7839,271,254,216,163,33,low_turnover,low_growth
2000,12,Government,20804,504,342,298,143,111,low_turnover,medium_growth
2000,12,Information,3705,130,111,98,60,31,low_turnover,low_growth
2000,12,Leisure and hospitality,11976,566,890,833,571,234,high_turnover,medium_growth
2000,12,Manufacturing,17181,374,504,576,321,208,high_turnover,medium_growth
2000,12,Mining and logging,602,7,23,23,9,12,low_turnover,low_growth
2000,12,Other services,5196,299,132,135,93,40,low_turnover,low_growth
2000,12,Professional and business services,16869,871,966,989,467,476,high_turnover,high_growth
2000,12,Retail trade,15379.4,502,981,885,505,343,high_turnover,high_growth
2000,12,Total private,111905,4364,5084,4937,2725,1925,high_turnover,high_growth
2000,12,"Trade, transportation, and utilities",26280,766,1276,1183,630,474,high_turnover,high_growth
2001,1,Construction,6824,223,495,453,161,264,medium_turnover,medium_growth
2001,1,Education and health services,15516,846,505,464,296,129,medium_turnover,high_growth
2001,1,Financial activities,7845,243,285,282,183,73,low_turnover,low_growth
2001,1,Government,20835,466,337,305,160,94,low_turnover,medium_growth
2001,1,Information,3710,261,171,165,102,44,low_turnover,low_growth
2001,1,Leisure and hospitality,11977,654,919,985,671,252,high_turnover,medium_growth
2001,1,Manufacturing,17104,491,498,576,296,235,high_turnover,high_growth
2001,1,Mining and logging,605,13,22,21,11,9,low_turnover,low_growth
2001,1,Other services,5204,310,180,170,75,63,low_turnover,low_growth
2001,1,Professional and business services,16876,888,1129,1186,573,565,high_turnover,high_growth
2001,1,Retail trade,15358.6,533,900,958,521,368,high_turnover,high_growth
2001,1,Total private,111863,4895,5385,5621,3101,2125,high_turnover,high_growth
2001,1,"Trade, transportation, and utilities",26202,965,1181,1319,733,489,high_turnover,high_growth
2001,2,Construction,6841,211,486,481,180,294,medium_turnover,medium_growth
2001,2,Education and health services,15573,809,527,478,326,119,medium_turnover,high_growth
2001,2,Financial activities,7867,259,251,214,133,63,low_turnover,low_growth
2001,2,Government,20906,460,366,314,168,99,low_turnover,medium_growth
2001,2,Information,3716,149,135,118,66,43,low_turnover,low_growth
2001,2,Leisure and hospitality,11997,601,878,795,557,202,high_turnover,medium_growth
2001,2,Manufacturing,17028,403,438,530,254,239,high_turnover,high_growth
2001,2,Mining and logging,605,8,19,19,8,6,low_turnover,low_growth
2001,2,Other services,5198,125,192,190,140,28,low_turnover,low_growth
2001,2,Professional and business services,16851,1032,928,945,445,478,high_turnover,high_growth
2001,2,Retail trade,15384.1,586,758,764,554,162,medium_turnover,high_growth
2001,2,Total private,111883,4548,4938,4864,2872,1740,high_turnover,high_growth
